0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250
202.85098	5.79568	5.78424	5.80987	5.81018	5.80621	5.79767	5.77935	5.79614	5.77005	5.81125	5.82071	5.79339	5.78851	5.81384	5.80865	5.79965	5.81308	5.76165	5.82910	5.78439	5.79797	5.77478	5.77173	5.81842	5.81796	5.84848	5.78073	5.79614	5.77417	5.83078	5.77188	5.80896	5.83505	5.79568	5.77905	5.81918	5.80209	5.79919	5.79644	5.76745	5.76089	5.80316	5.77707	5.80209	5.75021	5.85153	5.82895	5.79492	5.84924	5.82788	5.80743	5.80255	5.77691	5.78332	5.78225	5.81125	5.82071	5.79980	5.78927	5.86023	5.80606	5.79629	5.76791	5.77173	5.74090	5.77356	5.79217	5.80728	5.81445	5.78805	5.86206	5.78454	5.80316	5.75128	5.81262	5.81369	5.79614	5.81277	5.82208	5.80270	5.77844	5.77523	5.79675	5.80026	5.77523	5.80591	5.82650	5.80056	5.79461	5.80041	5.79843	5.88235	5.77905	5.80346	5.76852	5.81262	5.79095	5.77798	5.81704	5.81201	5.75753	5.80407	5.75021	5.78943	5.79492	5.77569	5.81979	5.83139	5.76761	5.81918	5.78485	5.78759	5.79950	5.78882	5.81949	5.72732	5.82177	5.80652	5.81445	5.79324	5.78943	5.79812	5.76959	5.81628	5.75982	5.78775	5.77005	5.83246	5.81674	5.82162	5.79385	5.80560	5.82879	5.75570	5.79629	5.81521	5.76364	5.76623	5.79934	5.81125	5.79294	5.81674	5.82589	5.79492	5.86130	5.82818	5.79477	5.81384	5.82391	5.82956	5.82650	5.79858	5.82910	5.76150	5.79950	5.83383	5.77371	5.78988	5.78042	5.77630	5.78119	5.81521	5.79583	5.78561	5.79889	5.79309	5.79889	5.78256	5.80667	5.81704	5.83383	5.82620	5.79492	5.77737	5.82666	5.80209	5.84253	5.82681	5.77523	5.81018	5.77401	5.78729	5.78378	5.77981	5.76699	5.81552	5.79995	5.77890	5.76364	5.76654	5.82025	5.79156	5.78851	5.81842	5.80407	5.78347	5.83642	5.79232	5.82650	5.80316	5.80896	5.79751	5.79751	5.76883	5.81170	5.77630	5.75631	5.79522	5.79599	5.80316	5.81155	5.81903	5.79477	5.80529	5.77783	5.76867	5.80789	5.79873	5.83322	5.81292	5.81994	5.79736	5.84283	5.80850	5.82574	5.85138	5.81384	5.83261	5.86923	5.78378	5.79583	5.83551	5.85733	5.78927	5.83062	5.81155	5.82147	5.80774	5.76043	5.81216	5.82574	5.78408	5.82101	5.80591	5.78576	5.78164	5.84802	5.81582	5.77890	5.82483
202.85390	5.84085	5.84634	5.86023	5.82986	5.84710	5.83841	5.85641	5.81140	5.85031	5.87457	5.84192	5.82605	5.83734	5.81765	5.86313	5.85336	5.83948	5.86267	5.87091	5.84482	5.82574	5.87778	5.87121	5.83093	5.80468	5.83551	5.85626	5.87427	5.82071	5.84543	5.86084	5.83993	5.86374	5.86770	5.88357	5.84085	5.87610	5.87243	5.83276	5.85885	5.80652	5.83429	5.84787	5.82757	5.82650	5.85016	5.86954	5.83383	5.85672	5.84787	5.86099	5.88342	5.85122	5.88586	5.81735	5.84512	5.86542	5.84939	5.86404	5.84176	5.83108	5.86023	5.81964	5.85748	5.85183	5.80865	5.83093	5.85718	5.86755	5.84344	5.86954	5.86526	5.83795	5.84604	5.81125	5.87350	5.83108	5.83169	5.86252	5.80240	5.82650	5.80377	5.82635	5.84634	5.85779	5.84024	5.85855	5.82879	5.84878	5.83764	5.89563	5.82574	5.86313	5.85855	5.84222	5.83444	5.88632	5.89212	5.86023	5.83841	5.84329	5.86099	5.84588	5.83139	5.85061	5.84115	5.86175	5.81643	5.83474	5.83108	5.87213	5.86542	5.84360	5.84009	5.81903	5.84680	5.83825	5.86908	5.85290	5.82635	5.85245	5.83169	5.81643	5.85046	5.81765	5.84787	5.80743	5.83352	5.82712	5.82849	5.86755	5.82055	5.83963	5.89746	5.84390	5.84298	5.81613	5.84161	5.82925	5.90051	5.86023	5.90143	5.86816	5.87533	5.90249	5.81460	5.84283	5.89548	5.84939	5.92020	5.83307	5.90372	5.87106	5.83322	5.83673	5.83963	5.82452	5.85718	5.80148	5.86343	5.84634	5.83383	5.87060	5.85183	5.86999	5.82406	5.84436	5.85473	5.84955	5.88373	5.84894	5.86450	5.85214	5.86603	5.89273	5.84283	5.83932	5.87930	5.86053	5.83093	5.82605	5.83597	5.83093	5.80026	5.85824	5.84588	5.83642	5.84253	5.84268	5.83551	5.79995	5.85901	5.84756	5.84680	5.84222	5.86938	5.84054	5.82177	5.86206	5.82849	5.86282	5.82254	5.90341	5.83764	5.82971	5.85153	5.82238	5.83047	5.83551	5.86542	5.81521	5.86480	5.80972	5.85962	5.84909	5.86023	5.83093	5.85382	5.84634	5.84665	5.85122	5.87716	5.89593	5.83597	5.85550	5.87549	5.81796	5.85321	5.88220	5.86969	5.86191	5.87610	5.84375	5.81308	5.86572	5.87457	5.85412	5.86267	5.87091	5.85672	5.84955	5.88006	5.89761	5.87686	5.84649	5.83093	5.85443	5.80743	5.85031	5.87732
202.85682	5.79446	5.85870	5.84237	5.83734	5.86801	5.80468	5.83490	5.80301	5.81796	5.85351	5.80911	5.79126	5.77081	5.79126	5.82010	5.84115	5.80560	5.86511	5.85946	5.81369	5.79507	5.81292	5.84527	5.79553	5.86664	5.84146	5.84222	5.77859	5.80560	5.81201	5.82330	5.80941	5.80331	5.82910	5.86542	5.83581	5.82193	5.78851	5.84573	5.82727	5.80194	5.81781	5.83597	5.83536	5.83505	5.83505	5.82864	5.79767	5.83154	5.80423	5.80301	5.82925	5.83810	5.79004	5.81689	5.86480	5.80743	5.85550	5.79034	5.80423	5.80453	5.81628	5.82849	5.80804	5.75937	5.78927	5.76715	5.80163	5.83246	5.82300	5.80591	5.82956	5.85595	5.80346	5.80880	5.83185	5.82025	5.82589	5.77951	5.83703	5.76699	5.79873	5.83917	5.79477	5.87640	5.82834	5.87503	5.81598	5.82055	5.81979	5.77874	5.84619	5.80224	5.86664	5.81491	5.79217	5.86511	5.83520	5.82788	5.83276	5.82483	5.79980	5.84207	5.85473	5.83673	5.82086	5.79950	5.83108	5.82223	5.82101	5.82422	5.82483	5.85245	5.83124	5.82361	5.81506	5.85595	5.82498	5.81613	5.84222	5.81903	5.81674	5.74975	5.81018	5.81216	5.80682	5.81903	5.82406	5.77234	5.79843	5.83215	5.83200	5.83444	5.80240	5.81872	5.77050	5.82910	5.81384	5.80529	5.84039	5.83154	5.84604	5.82345	5.86908	5.82223	5.85916	5.88434	5.86496	5.84710	5.83322	5.83673	5.86633	5.82635	5.78790	5.78912	5.82635	5.82025	5.81216	5.79538	5.86145	5.80011	5.78195	5.84100	5.82269	5.82361	5.79400	5.83566	5.77264	5.83429	5.83780	5.85534	5.86282	5.84604	5.82238	5.80911	5.82361	5.82635	5.85595	5.79614	5.81170	5.85473	5.75479	5.81247	5.85107	5.79492	5.84100	5.80407	5.84848	5.78302	5.79629	5.81216	5.85245	5.83505	5.79812	5.79263	5.83551	5.82361	5.84863	5.85260	5.80896	5.83200	5.85641	5.82620	5.83062	5.83932	5.80011	5.79767	5.80880	5.82406	5.82452	5.77615	5.80011	5.82300	5.78149	5.85565	5.80301	5.80758	5.81094	5.82330	5.81888	5.79980	5.81659	5.82864	5.84833	5.82513	5.84771	5.80179	5.79843	5.85275	5.81552	5.80972	5.84237	5.81598	5.85275	5.82269	5.78271	5.83093	5.84085	5.84878	5.82376	5.82864	5.81643	5.80148	5.82849	5.86114	5.80362	5.79965	5.81781	5.83368	5.86191
202.85973	5.79263	5.85122	5.83993	5.83139	5.80941	5.83169	5.82162	5.82147	5.87778	5.81369	5.80819	5.78805	5.82696	5.87381	5.80987	5.84497	5.85733	5.85611	5.83551	5.87137	5.89532	5.83291	5.82742	5.80591	5.86770	5.84451	5.82925	5.80697	5.83749	5.82773	5.78912	5.82528	5.81598	5.85748	5.88128	5.85901	5.85565	5.84329	5.83322	5.81247	5.83902	5.84054	5.80484	5.83429	5.85550	5.82605	5.80835	5.82422	5.79965	5.82986	5.84253	5.81888	5.81308	5.82864	5.83459	5.84283	5.85840	5.84588	5.83749	5.82681	5.86191	5.82971	5.85260	5.82895	5.77447	5.86542	5.81369	5.87488	5.82971	5.80926	5.86908	5.82300	5.81018	5.82345	5.85092	5.82437	5.83749	5.80285	5.79583	5.83551	5.83536	5.80438	5.84421	5.83139	5.82071	5.83917	5.82757	5.85092	5.82940	5.81170	5.83993	5.84771	5.83551	5.87427	5.83597	5.83627	5.85016	5.83978	5.80392	5.78897	5.83261	5.81247	5.84100	5.85489	5.85458	5.83780	5.85641	5.84710	5.81140	5.86892	5.84604	5.83383	5.84985	5.84207	5.83169	5.78912	5.87564	5.81109	5.86145	5.84665	5.81094	5.82803	5.78164	5.81460	5.79553	5.81323	5.81811	5.80941	5.82101	5.83154	5.85428	5.82788	5.83047	5.87549	5.83230	5.85061	5.81048	5.79736	5.84756	5.82727	5.85245	5.85183	5.88022	5.86847	5.83673	5.87549	5.84833	5.86603	5.83505	5.86938	5.84924	5.86419	5.82971	5.82940	5.85641	5.82513	5.87762	5.85580	5.83780	5.82208	5.84268	5.84604	5.80499	5.84894	5.81750	5.80774	5.86191	5.82116	5.83597	5.85840	5.86435	5.87778	5.82559	5.90143	5.85138	5.84482	5.87457	5.81018	5.84237	5.82696	5.82712	5.86023	5.86099	5.83825	5.79705	5.84771	5.78576	5.83200	5.78378	5.83703	5.84024	5.82040	5.82910	5.83337	5.82910	5.84421	5.81857	5.85290	5.82712	5.84146	5.80133	5.82498	5.82071	5.82589	5.85061	5.83139	5.86130	5.84710	5.84054	5.77737	5.83841	5.78820	5.82559	5.80240	5.81140	5.82406	5.85107	5.82757	5.86999	5.80941	5.84817	5.81826	5.83368	5.87976	5.85367	5.83093	5.90402	5.88769	5.84436	5.81537	5.82803	5.88815	5.84466	5.88556	5.88418	5.83200	5.85840	5.85611	5.85306	5.83154	5.76806	5.85687	5.78637	5.84970	5.85580	5.79782	5.82589	5.83444	5.84604	5.85794
202.86265	5.80438	5.79400	5.79202	5.81384	5.79355	5.79110	5.78973	5.79278	5.79171	5.81888	5.76715	5.80240	5.82864	5.78332	5.80850	5.79553	5.82834	5.81247	5.82254	5.79370	5.82132	5.84253	5.80301	5.78744	5.81720	5.81094	5.85199	5.81811	5.80346	5.78668	5.78332	5.75158	5.82864	5.80880	5.80468	5.85367	5.82925	5.78805	5.82010	5.77554	5.79950	5.85733	5.77356	5.80865	5.76287	5.82483	5.75525	5.81979	5.83261	5.81476	5.83307	5.78988	5.83505	5.78805	5.76272	5.81308	5.84146	5.78134	5.78332	5.84344	5.81979	5.81445	5.79126	5.79843	5.81857	5.74929	5.82025	5.80911	5.84085	5.83673	5.81430	5.80041	5.80819	5.81811	5.78180	5.80804	5.80484	5.80270	5.79400	5.75982	5.81796	5.78958	5.81399	5.80194	5.80255	5.76181	5.79446	5.80484	5.81537	5.79614	5.83307	5.80270	5.85245	5.78149	5.80697	5.82544	5.81201	5.80117	5.81674	5.78988	5.83795	5.83017	5.84558	5.81491	5.83337	5.82620	5.80514	5.80987	5.81109	5.78592	5.81262	5.78851	5.80621	5.79843	5.81720	5.79355	5.79553	5.78668	5.82376	5.81537	5.80880	5.76959	5.81430	5.79538	5.79400	5.78134	5.78424	5.79034	5.82895	5.83688	5.81018	5.80758	5.79278	5.82376	5.83352	5.79843	5.79065	5.77844	5.78943	5.81750	5.83337	5.85351	5.81750	5.81476	5.83291	5.80896	5.79889	5.86618	5.83215	5.81765	5.82605	5.83810	5.82528	5.77386	5.82208	5.79232	5.80102	5.78622	5.86114	5.76333	5.77813	5.80453	5.77081	5.81811	5.82864	5.77951	5.84176	5.77203	5.82727	5.82177	5.76547	5.77493	5.84802	5.80407	5.86419	5.83871	5.80529	5.82467	5.80255	5.79614	5.82086	5.75250	5.76730	5.76120	5.85229	5.84360	5.78622	5.78439	5.80621	5.81170	5.82681	5.82635	5.80087	5.78180	5.76928	5.81964	5.81659	5.79904	5.83429	5.84192	5.83917	5.80926	5.78637	5.82238	5.78775	5.75875	5.78378	5.80209	5.76410	5.79110	5.79355	5.82254	5.79629	5.81018	5.84085	5.80941	5.84344	5.79416	5.79950	5.79934	5.80529	5.78775	5.79950	5.78653	5.82254	5.81415	5.75540	5.80407	5.85168	5.83307	5.80652	5.80606	5.83459	5.82071	5.78805	5.82025	5.81628	5.80423	5.83825	5.79583	5.82589	5.78012	5.84604	5.81613	5.83398	5.82620	5.82132	5.82834	5.80957	5.83398
202.86556	5.86786	5.86847	5.84817	5.86343	5.83581	5.84390	5.83154	5.84253	5.82788	5.82589	5.86084	5.84695	5.83795	5.83764	5.84146	5.85504	5.86358	5.82177	5.87152	5.83154	5.87549	5.82986	5.79950	5.80819	5.85473	5.84558	5.83825	5.82681	5.85183	5.81216	5.83703	5.87823	5.84573	5.88479	5.84161	5.83642	5.88190	5.84527	5.81964	5.81781	5.86221	5.82879	5.85977	5.83703	5.82803	5.84955	5.86114	5.84588	5.83627	5.86557	5.83139	5.88174	5.87900	5.82391	5.84085	5.84192	5.84924	5.84405	5.85763	5.84863	5.89532	5.87015	5.84802	5.82498	5.86191	5.89013	5.79705	5.81826	5.89822	5.82391	5.84451	5.82956	5.83536	5.87121	5.81445	5.85641	5.81720	5.88159	5.85611	5.84192	5.83062	5.86069	5.83841	5.84482	5.82254	5.83658	5.86862	5.84939	5.86343	5.83108	5.85290	5.82696	5.85183	5.84054	5.90051	5.85977	5.88098	5.85122	5.84024	5.83963	5.88113	5.86511	5.86252	5.87121	5.82742	5.88693	5.89319	5.86236	5.86404	5.82452	5.86053	5.82879	5.82849	5.85245	5.92508	5.82086	5.89883	5.80957	5.84039	5.80560	5.86343	5.82818	5.78882	5.86938	5.82086	5.83627	5.81857	5.82315	5.84512	5.83032	5.83398	5.84939	5.84588	5.85321	5.84115	5.85016	5.82788	5.87198	5.83948	5.84512	5.85595	5.83597	5.84192	5.87793	5.87518	5.87350	5.83505	5.86221	5.86664	5.87274	5.84680	5.89181	5.84451	5.84695	5.86023	5.82849	5.86892	5.89563	5.84039	5.85885	5.84558	5.84161	5.84665	5.86847	5.88800	5.83841	5.82437	5.84085	5.87610	5.88220	5.87518	5.85855	5.82177	5.84970	5.82406	5.82025	5.84146	5.83825	5.86297	5.87564	5.84283	5.84710	5.83886	5.80438	5.81979	5.82666	5.83444	5.83825	5.85138	5.83383	5.84329	5.86007	5.86023	5.82010	5.86801	5.87655	5.85306	5.86740	5.81674	5.84222	5.86053	5.87976	5.84604	5.84146	5.83795	5.84497	5.85229	5.84161	5.82788	5.85397	5.85687	5.85321	5.81582	5.85046	5.85748	5.85016	5.86786	5.88479	5.84619	5.86938	5.82650	5.85733	5.86374	5.84466	5.88479	5.90555	5.85748	5.87152	5.86282	5.84573	5.84558	5.85580	5.89837	5.83886	5.88388	5.85138	5.85489	5.85183	5.82330	5.85657	5.87396	5.82483	5.85885	5.83490	5.88510	5.87106	5.79004	5.86480	5.87854	5.87640
202.86848	5.80713	5.80117	5.85748	5.83734	5.83474	5.81155	5.87396	5.81338	5.79614	5.82910	5.82544	5.79736	5.87930	5.80865	5.78073	5.81552	5.82513	5.83734	5.82849	5.85702	5.83474	5.81918	5.86084	5.82650	5.84970	5.86786	5.84863	5.88937	5.78851	5.83413	5.81765	5.83291	5.85443	5.83444	5.84237	5.81353	5.85367	5.82910	5.83566	5.82162	5.83352	5.83749	5.81704	5.83383	5.81415	5.82910	5.80621	5.81399	5.80438	5.83780	5.85229	5.87396	5.84405	5.84649	5.83993	5.84115	5.80255	5.84344	5.83078	5.81079	5.84543	5.84100	5.84726	5.80102	5.80987	5.80636	5.84344	5.85809	5.87549	5.86145	5.83230	5.79797	5.82040	5.80240	5.88617	5.82864	5.82223	5.82849	5.85458	5.82574	5.83246	5.81964	5.86587	5.84329	5.82147	5.81491	5.80941	5.83413	5.84222	5.83474	5.83719	5.79522	5.80667	5.85443	5.79355	5.84024	5.86725	5.86526	5.84329	5.86892	5.78515	5.86404	5.84207	5.83719	5.80987	5.84222	5.84619	5.84283	5.83200	5.85290	5.80713	5.84375	5.85397	5.81933	5.81628	5.83642	5.83673	5.83734	5.80316	5.82025	5.81003	5.79721	5.79400	5.81949	5.77523	5.82055	5.81476	5.81445	5.82437	5.82544	5.82559	5.81262	5.83505	5.82864	5.79965	5.84039	5.84085	5.82483	5.85245	5.83429	5.81033	5.86252	5.86877	5.88800	5.84741	5.83337	5.83413	5.82681	5.85626	5.87228	5.83307	5.83185	5.80896	5.79812	5.80789	5.83307	5.83124	5.83978	5.84100	5.82010	5.82513	5.79919	5.81308	5.82742	5.83566	5.82956	5.82910	5.83429	5.86084	5.80774	5.82040	5.84527	5.82254	5.85290	5.84497	5.80468	5.82513	5.85168	5.82544	5.85443	5.83978	5.80407	5.82528	5.80591	5.80972	5.77859	5.82193	5.82055	5.82284	5.81292	5.84924	5.80682	5.80926	5.83902	5.82544	5.85779	5.81613	5.87274	5.81476	5.83551	5.82208	5.86358	5.81842	5.84405	5.82956	5.84039	5.82910	5.81613	5.81796	5.80652	5.80789	5.83871	5.79049	5.82422	5.83749	5.78592	5.83871	5.85473	5.83734	5.82467	5.81582	5.82681	5.82055	5.84390	5.83948	5.82925	5.81613	5.82147	5.84573	5.87060	5.84405	5.82635	5.83398	5.85382	5.83993	5.83337	5.86069	5.83764	5.82483	5.82101	5.87823	5.86374	5.85672	5.81506	5.82589	5.86297	5.85946	5.79950	5.84314	5.78668
202.87139	5.85336	5.85092	5.83597	5.84695	5.90768	5.89395	5.88144	5.84161	5.86496	5.85977	5.86603	5.82162	5.81857	5.85870	5.86130	5.86114	5.84604	5.86938	5.83642	5.86908	5.85840	5.88968	5.86755	5.82330	5.85351	5.89105	5.84619	5.85946	5.87503	5.85946	5.83581	5.88571	5.88602	5.84115	5.89273	5.86755	5.83932	5.87671	5.85809	5.85840	5.88708	5.82513	5.83413	5.87411	5.88769	5.84054	5.83627	5.86480	5.88190	5.88251	5.86694	5.86664	5.86160	5.87976	5.83597	5.83413	5.82712	5.87518	5.85382	5.84649	5.83429	5.81781	5.85504	5.83169	5.87579	5.88754	5.86435	5.89166	5.88479	5.83352	5.83536	5.81323	5.82818	5.87015	5.85306	5.84573	5.85412	5.85458	5.85748	5.87411	5.81674	5.84543	5.88190	5.82055	5.86542	5.82254	5.87793	5.84619	5.83383	5.89853	5.83185	5.84375	5.87320	5.87839	5.88632	5.86755	5.89075	5.83581	5.83734	5.88159	5.89899	5.87640	5.86801	5.87594	5.85763	5.84756	5.85458	5.85840	5.86969	5.88006	5.84390	5.88128	5.85260	5.82238	5.82849	5.86313	5.82055	5.84558	5.85443	5.84360	5.80575	5.85122	5.87289	5.86114	5.80346	5.84649	5.84695	5.87274	5.82696	5.89197	5.80987	5.81292	5.85718	5.84329	5.86038	5.83734	5.84848	5.87686	5.81979	5.88846	5.85702	5.82376	5.88373	5.83734	5.84680	5.88693	5.87655	5.89166	5.88861	5.84848	5.84756	5.89578	5.86130	5.84161	5.85336	5.88296	5.86755	5.86725	5.83993	5.89380	5.83108	5.80545	5.85458	5.86145	5.87808	5.83734	5.85977	5.88739	5.83062	5.84161	5.85809	5.86175	5.85595	5.84512	5.89899	5.86099	5.86358	5.85641	5.84909	5.84680	5.85580	5.87045	5.86480	5.87945	5.83230	5.83276	5.84115	5.87350	5.82788	5.83612	5.88891	5.84421	5.86404	5.85916	5.83734	5.89395	5.89029	5.82879	5.88540	5.82681	5.82528	5.84634	5.83978	5.87411	5.87457	5.82162	5.81582	5.87823	5.85443	5.83627	5.84237	5.82025	5.85290	5.83749	5.86648	5.87488	5.87564	5.84863	5.87457	5.85489	5.89578	5.86542	5.83734	5.84894	5.84619	5.86450	5.86374	5.86069	5.88403	5.89120	5.85107	5.84039	5.84543	5.85199	5.88235	5.86984	5.91028	5.91760	5.89334	5.84283	5.87930	5.85367	5.87854	5.85809	5.87640	5.84298	5.82330	5.88083	5.85214	5.85260
202.87431	5.88693	5.81201	5.82467	5.81674	5.81338	5.82589	5.83841	5.85153	5.79339	5.86313	5.81643	5.83795	5.81933	5.82238	5.83688	5.81918	5.81613	5.83261	5.84222	5.82010	5.83871	5.87762	5.86633	5.87274	5.85733	5.81567	5.80636	5.80514	5.80606	5.83490	5.84024	5.84451	5.84573	5.81170	5.83459	5.82971	5.84482	5.85031	5.86877	5.84192	5.79049	5.80758	5.81140	5.82757	5.83185	5.80575	5.82330	5.84955	5.86114	5.82650	5.87243	5.86664	5.84512	5.82147	5.85290	5.82559	5.79797	5.85519	5.84176	5.83810	5.86465	5.83108	5.85702	5.82223	5.83062	5.84894	5.83429	5.81216	5.82757	5.85443	5.84787	5.84115	5.80407	5.88647	5.83001	5.81567	5.83398	5.83276	5.80484	5.82712	5.83276	5.82574	5.82147	5.80835	5.85550	5.81460	5.83154	5.83520	5.84833	5.80667	5.83337	5.80362	5.83001	5.82925	5.86297	5.83276	5.81033	5.82712	5.83276	5.86664	5.86664	5.82956	5.82513	5.89013	5.83368	5.80011	5.90402	5.85000	5.88067	5.82330	5.86969	5.81140	5.81659	5.85779	5.79370	5.83825	5.80453	5.82376	5.83154	5.83352	5.83566	5.80133	5.84176	5.82513	5.82879	5.79446	5.83200	5.76120	5.83429	5.81430	5.79080	5.84054	5.84115	5.87396	5.81170	5.83719	5.85397	5.84558	5.83795	5.85687	5.81521	5.81353	5.82238	5.84390	5.85031	5.86862	5.84680	5.83703	5.83352	5.85626	5.83490	5.86099	5.86801	5.85519	5.85092	5.84298	5.86252	5.84253	5.83703	5.85611	5.83749	5.82971	5.84924	5.85031	5.81308	5.79965	5.83993	5.83032	5.81750	5.81430	5.83551	5.82467	5.81689	5.86358	5.82361	5.84634	5.86709	5.84649	5.84146	5.83932	5.83978	5.84771	5.87442	5.81521	5.86130	5.85718	5.82055	5.82986	5.84451	5.79065	5.80484	5.83536	5.83215	5.82101	5.83871	5.81277	5.83154	5.82391	5.83658	5.86923	5.81537	5.82162	5.83215	5.82422	5.82208	5.82498	5.80438	5.85504	5.81964	5.82422	5.80301	5.82422	5.83078	5.80514	5.85107	5.84314	5.84833	5.81247	5.83017	5.84558	5.79202	5.86252	5.86145	5.84894	5.84207	5.86007	5.86267	5.85687	5.85992	5.86069	5.82773	5.84543	5.83871	5.84939	5.84970	5.87366	5.83795	5.84970	5.84100	5.83093	5.87274	5.87289	5.84329	5.82574	5.85718	5.85183	5.82971	5.82528	5.84955	5.83200
202.87723	5.83627	5.86801	5.86328	5.84390	5.85809	5.84192	5.81643	5.81399	5.86419	5.83825	5.84405	5.88800	5.89197	5.84833	5.85473	5.82864	5.87030	5.85504	5.84787	5.84863	5.87350	5.90249	5.87976	5.86816	5.88922	5.87076	5.82010	5.83490	5.86923	5.81537	5.86328	5.87564	5.86892	5.89273	5.89105	5.87472	5.89013	5.87945	5.88205	5.90845	5.89395	5.83429	5.85275	5.89105	5.87518	5.86603	5.87396	5.86877	5.84558	5.88785	5.87350	5.83841	5.85855	5.86908	5.89899	5.85321	5.87015	5.85138	5.85504	5.86969	5.86908	5.84817	5.85565	5.85962	5.83886	5.82193	5.87594	5.87839	5.90372	5.87579	5.87869	5.83169	5.87655	5.85336	5.86908	5.84573	5.88663	5.89151	5.88617	5.87655	5.79492	5.87808	5.86236	5.87503	5.86557	5.86877	5.85580	5.85901	5.89944	5.86145	5.83764	5.86709	5.88113	5.89929	5.91806	5.86725	5.89364	5.84710	5.87289	5.86709	5.86435	5.85809	5.87549	5.91379	5.91302	5.85718	5.86877	5.89471	5.84207	5.88876	5.88327	5.84192	5.88083	5.83719	5.85901	5.92844	5.85473	5.82788	5.89868	5.85077	5.80774	5.83688	5.82437	5.84207	5.84970	5.85473	5.81308	5.81506	5.87228	5.86267	5.88220	5.87915	5.84573	5.87716	5.84497	5.82101	5.84619	5.83612	5.87076	5.88083	5.87549	5.84771	5.85077	5.88876	5.90600	5.89075	5.86679	5.86465	5.89395	5.89975	5.86206	5.89425	5.84497	5.91699	5.84070	5.83505	5.89731	5.83124	5.88403	5.85061	5.83536	5.84695	5.83352	5.87106	5.87472	5.86984	5.86328	5.90158	5.88464	5.87701	5.87228	5.82727	5.86130	5.89853	5.85382	5.85641	5.86480	5.88571	5.88556	5.86740	5.88785	5.82361	5.88052	5.86130	5.82925	5.86908	5.87549	5.84131	5.84268	5.89044	5.89258	5.86404	5.87533	5.88952	5.88067	5.88418	5.89136	5.87945	5.81445	5.87243	5.86984	5.85855	5.86923	5.81918	5.87808	5.82834	5.78973	5.82879	5.84176	5.83673	5.86831	5.85229	5.87839	5.89471	5.83505	5.87381	5.88006	5.89029	5.86252	5.88815	5.85367	5.85824	5.85306	5.90097	5.86084	5.90295	5.85687	5.85672	5.88998	5.85061	5.87106	5.86358	5.85199	5.86648	5.90982	5.87945	5.86069	5.90875	5.88540	5.85855	5.88647	5.85199	5.90539	5.89700	5.86603	5.85840	5.89090	5.87488	5.88540	5.83078
