0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250
318.72122	44.99474	44.97826	45.02480	45.07362	45.00572	45.00343	45.07454	45.02007	44.90532	45.01656	44.82841	44.92271	44.97459	44.92088	45.03777	44.97810	44.96666	44.98207	44.86946	44.96361	44.96880	45.05425	45.07088	44.98695	45.12581	44.90318	44.87312	44.90944	44.89738	44.88563	44.88777	44.89998	44.77653	44.84031	44.99474	44.95064	45.08034	45.06233	45.17647	45.01427	45.18441	45.08385	45.07179	45.09819	45.13069	45.04570	45.02815	45.08003	45.07820	45.08934	45.04738	45.08507	45.15282	45.01869	45.09194	45.06447	45.11620	45.15251	45.15053	45.14427	45.04112	44.95857	44.88685	44.86946	45.04952	44.95964	44.97444	45.14488	44.97200	45.04311	45.04540	45.01732	45.09606	44.92653	45.07012	44.87343	44.96147	44.90913	44.89586	44.93339	44.89067	44.93492	45.02449	44.90501	45.06233	45.09300	45.13268	44.94606	45.18120	45.21096	45.25170	45.26497	45.18669	45.31426	45.27642	45.19158	45.06752	44.96223	44.94652	44.95567	45.02174	45.09651	45.00710	45.17433	45.25780	45.23919	45.26146	45.32921	45.22911	45.24285	45.30007	45.13268	45.17052	45.20699	45.04753	45.17006	45.11727	45.06218	44.98146	45.02861	44.91844	44.79011	44.91173	44.79927	44.87129	44.98756	44.87709	44.98299	45.00481	44.97047	44.98283	44.96284	44.98436	44.90532	45.13313	45.04753	45.06081	45.06432	44.97505	44.95308	45.10277	45.00999	45.06126	45.10597	45.23095	45.18318	45.25917	45.20363	45.28435	45.37377	45.28985	45.27077	45.26482	45.12947	45.04936	45.06859	45.22225	45.12886	45.16716	45.04707	45.23537	45.09941	45.09468	45.16045	45.11666	45.08125	45.17678	45.19692	45.21309	45.28283	45.20958	45.26818	45.22301	45.23369	45.24453	45.14107	45.27016	45.15953	45.18013	45.09071	45.13008	45.08263	45.17556	45.01183	45.01579	44.99672	45.04906	45.05699	44.99733	45.06218	45.06493	45.08934	45.09163	45.11177	45.19539	45.06538	45.09407	45.08400	45.07988	45.17113	45.02922	45.02220	44.93629	44.95628	44.97154	44.86397	44.89158	44.90227	44.84535	44.89235	44.88975	44.93141	44.95369	45.10536	45.26619	45.06096	45.16640	45.02480	45.19905	45.25765	45.21004	45.22362	45.26543	45.29671	45.31273	45.08751	45.27672	45.20119	45.30037	45.19615	45.13680	45.12444	45.15862	45.02586	45.01549	45.03944	45.05653	45.00374	44.95583	44.95842	45.18776	45.03090	45.14168	45.10582	45.03853	45.20195	45.19448	45.31365	45.32723	45.26772
318.72397	45.48455	45.29824	45.36797	45.41283	45.40887	45.37530	45.35286	45.38186	45.24590	45.35088	45.25963	45.32464	45.43328	45.29213	45.22408	45.33730	45.39559	45.22225	45.26619	45.27352	45.40337	45.28801	45.42657	45.38704	45.38964	45.26452	45.21965	45.15694	45.33715	45.18166	45.29381	45.36294	45.23949	45.35760	45.37575	45.33242	45.35592	45.47570	45.51553	45.36996	45.48043	45.26864	45.35134	45.46273	45.43969	45.45632	45.46197	45.44793	45.40887	45.45281	45.45617	45.29839	45.46029	45.39681	45.46746	45.50805	45.38277	45.56497	45.49966	45.48379	45.37652	45.28435	45.35851	45.13115	45.32097	45.34188	45.28771	45.41466	45.41833	45.32250	45.42123	45.32326	45.43343	45.43099	45.57137	45.41024	45.44167	45.34310	45.20775	45.29366	45.27672	45.32219	45.35332	45.29656	45.40200	45.48333	45.49355	45.36355	45.49737	45.58587	45.59777	45.66201	45.57717	45.65454	45.73571	45.54086	45.48394	45.46197	45.45434	45.32540	45.42840	45.35744	45.44289	45.53704	45.56039	45.56695	45.65637	45.69390	45.68276	45.64019	45.62432	45.48058	45.57519	45.44442	45.47539	45.54543	45.57107	45.45953	45.33608	45.28099	45.27092	45.10796	45.34829	45.21324	45.27855	45.35088	45.20348	45.35332	45.36461	45.30861	45.48318	45.37102	45.28405	45.40810	45.38506	45.44961	45.49828	45.46044	45.37591	45.37774	45.36202	45.36965	45.42214	45.38949	45.63409	45.54452	45.65377	45.61364	45.68856	45.69085	45.59091	45.64645	45.63302	45.59808	45.49493	45.39925	45.56802	45.43252	45.53002	45.43648	45.55810	45.48699	45.48028	45.41161	45.43648	45.44228	45.48425	45.56634	45.63531	45.67971	45.60327	45.62905	45.62417	45.67361	45.53780	45.61379	45.53979	45.57748	45.49371	45.46532	45.54711	45.51034	45.42123	45.38796	45.42489	45.43938	45.41085	45.42565	45.43954	45.42046	45.46883	45.42397	45.51781	45.38796	45.62860	45.46609	45.51507	45.43679	45.37926	45.41619	45.48058	45.36461	45.37987	45.33089	45.34844	45.37652	45.30983	45.33318	45.26253	45.31868	45.26055	45.24971	45.38201	45.41817	45.57382	45.52483	45.53079	45.47280	45.54864	45.61227	45.45556	45.61944	45.51919	45.64462	45.62387	45.56649	45.52956	45.57137	45.65911	45.52468	45.63180	45.47250	45.51461	45.44640	45.34813	45.53872	45.27840	45.47723	45.37362	45.41878	45.47707	45.39055	45.50393	45.45541	45.46944	45.49355	45.50957	45.59792	45.73724	45.66842
318.72672	45.51247	45.59106	45.58999	45.66735	45.60052	45.60250	45.61257	45.53262	45.49630	45.58877	45.43252	45.41711	45.49737	45.44167	45.57504	45.55230	45.57397	45.43023	45.46532	45.47784	45.38476	45.62036	45.65103	45.54574	45.61151	45.50957	45.44488	45.41085	45.51034	45.33379	45.40322	45.45266	45.44884	45.55016	45.60250	45.46120	45.59579	45.64294	45.56832	45.51919	45.71954	45.59670	45.62478	45.66400	45.66262	45.73358	45.67987	45.54910	45.62860	45.51293	45.59426	45.61105	45.79263	45.59716	45.58968	45.68505	45.63088	45.78759	45.64096	45.65087	45.57641	45.56893	45.54894	45.41390	45.64920	45.49264	45.52132	45.61700	45.46151	45.53124	45.46120	45.53490	45.57671	45.50011	45.59899	45.46151	45.53765	45.46471	45.45830	45.50225	45.41283	45.48348	45.52316	45.47799	45.56725	45.74060	45.60479	45.61730	45.58404	45.82971	45.86252	45.82757	45.77493	45.85275	45.89075	45.71542	45.63104	45.51827	45.50439	45.48974	45.54330	45.60189	45.62325	45.67971	45.71664	45.79919	45.87045	45.87518	45.87808	45.84894	45.83551	45.67300	45.66537	45.63653	45.52819	45.55062	45.59121	45.60067	45.62951	45.59670	45.35073	45.38262	45.48196	45.37301	45.47341	45.52346	45.48272	45.57839	45.58221	45.57046	45.56329	45.53429	45.63043	45.50088	45.58282	45.57015	45.57565	45.63745	45.54940	45.61593	45.54101	45.53796	45.61700	45.73877	45.73434	45.76272	45.79477	45.74640	45.75250	45.87015	45.85809	45.79477	45.76822	45.76349	45.79110	45.73495	45.66690	45.62539	45.72259	45.72641	45.77264	45.73556	45.66400	45.69833	45.69497	45.71633	45.71969	45.76837	45.78042	45.84482	45.83581	45.70001	45.85107	45.78073	45.75174	45.77768	45.70520	45.66583	45.77508	45.68658	45.73220	45.62524	45.63134	45.58709	45.56008	45.61517	45.56344	45.64950	45.54299	45.55749	45.60739	45.69863	45.67071	45.63256	45.75998	45.71054	45.61975	45.67956	45.57198	45.71679	45.63821	45.56802	45.49508	45.48806	45.56100	45.36797	45.43328	45.43023	45.49355	45.52575	45.51965	45.51308	45.49157	45.60021	45.73190	45.62249	45.74029	45.60113	45.72305	45.69253	45.69268	45.79828	45.78408	45.81750	45.78271	45.73190	45.69421	45.72366	45.92630	45.85794	45.70642	45.69039	45.74243	45.50210	45.47082	45.57488	45.65698	45.56130	45.69482	45.55612	45.58663	45.66766	45.70367	45.69833	45.67834	45.79858	45.68490	45.79660	45.82162	45.89105
318.72947	45.82055	45.78470	45.75479	45.82498	45.93530	45.68292	45.76883	45.72091	45.68963	45.82071	45.70871	45.69421	45.73053	45.65652	45.81247	45.71038	45.79065	45.69863	45.73724	45.70626	45.61990	45.86343	45.84161	45.78531	45.82971	45.63424	45.60708	45.62966	45.65576	45.70993	45.62295	45.72717	45.54086	45.64736	45.65377	45.71130	45.83795	45.85077	45.80240	45.77005	45.96368	45.84237	45.77218	45.85382	45.75296	45.85580	45.88479	45.93301	45.81567	45.86252	45.89548	45.88769	45.88754	45.83520	45.78882	45.93439	45.77707	45.95499	45.93057	45.78317	45.84817	45.68460	45.68368	45.62722	45.76440	45.72457	45.87335	45.91363	45.73983	45.87716	45.80316	45.69726	45.78897	45.67544	45.82437	45.63088	45.77768	45.69970	45.65835	45.82300	45.71527	45.67086	45.68460	45.70474	45.77417	45.91699	45.75052	45.75753	45.84237	45.96323	45.99222	46.12299	45.92187	46.01297	46.06470	45.97253	45.91546	45.72259	45.79278	45.69696	45.79065	45.87900	45.83383	45.96246	45.88846	45.99527	46.01190	46.09903	46.07340	46.11292	45.92721	46.02274	45.87289	45.89883	45.84588	45.91363	45.79660	45.76242	45.77401	45.71633	45.77157	45.64126	45.68582	45.64385	45.69680	45.66308	45.69100	45.74517	45.69192	45.71664	45.67910	45.75875	45.74731	45.66476	45.86130	45.87137	45.81842	45.98276	45.72351	45.78973	45.70260	45.75875	45.89715	45.85779	45.98810	45.94827	46.03525	46.00198	46.07797	46.06577	46.00855	46.02823	45.97116	46.00931	45.88785	45.90814	45.90829	45.81399	45.86526	45.97864	45.94766	45.96536	45.87259	45.94965	45.83062	45.92813	45.92065	45.94186	46.07965	46.05707	46.01907	45.91211	46.09033	45.99283	45.97864	45.99832	45.92615	45.87472	45.95682	45.91226	45.92813	45.88998	45.89471	45.91089	45.79248	45.84344	45.79522	45.93225	45.76242	45.74380	45.88754	45.84833	45.79782	45.85458	46.01587	45.84909	45.94537	45.86435	45.83093	45.87640	45.93408	45.73434	45.67285	45.69100	45.76913	45.62158	45.67300	45.67758	45.71176	45.70275	45.63592	45.67788	45.78485	45.91531	45.79370	45.88418	45.94095	45.82727	45.97055	46.03937	45.86801	45.98032	45.89410	45.96200	45.94888	45.84939	45.91806	45.95834	46.03861	45.98398	45.95026	45.89761	45.85946	45.90997	45.67559	45.87762	45.81308	45.82940	45.78592	45.79965	45.92996	45.86496	45.83474	45.87610	45.92554	46.00046	45.96643	46.13581	46.04807	46.07950
318.73221	45.74197	45.75616	45.61120	45.70138	45.68750	45.62478	45.80514	45.65240	45.63684	45.70214	45.50790	45.51400	45.65087	45.63729	45.67742	45.72107	45.64065	45.57519	45.64691	45.70016	45.61074	45.66308	45.60449	45.74472	45.72274	45.53231	45.56191	45.62753	45.66857	45.50713	45.59091	45.53719	45.47189	45.58175	45.72961	45.68109	45.75265	45.79248	45.68475	45.76410	45.80972	45.73892	45.68261	45.80529	45.71878	45.80209	45.79767	45.82269	45.78759	45.74334	45.64599	45.79767	45.89227	45.72396	45.79309	45.84924	45.92203	45.88708	45.76318	45.77539	45.67239	45.63882	45.58572	45.57519	45.60082	45.57916	45.64706	45.83886	45.66705	45.69268	45.69360	45.66155	45.70138	45.71542	45.72625	45.64202	45.75753	45.69604	45.62783	45.61318	45.58038	45.66995	45.65927	45.62341	45.72366	45.77295	45.70077	45.72274	45.88479	45.95911	45.96124	46.01297	45.90051	46.03250	46.01541	45.76379	45.75372	45.65377	45.72107	45.64202	45.79919	45.63760	45.66323	45.87823	45.79232	45.89120	45.97467	46.01099	45.97910	45.94629	46.03342	45.78225	45.82483	45.78698	45.75052	45.83856	45.78546	45.74884	45.72808	45.63134	45.59213	45.48684	45.58862	45.54757	45.67010	45.66018	45.62890	45.75937	45.72702	45.67605	45.61563	45.60372	45.62524	45.66232	45.76547	45.80957	45.71862	45.75906	45.72351	45.83551	45.81857	45.57565	45.69985	45.76928	45.87472	45.71389	45.92477	45.88281	45.87869	45.91913	45.98886	45.93347	45.88128	45.91196	45.91211	45.78500	45.84527	45.78134	45.91165	45.93164	45.75784	45.85580	45.84604	45.89029	45.71008	45.66796	45.84817	45.81399	45.95712	45.91058	46.01175	45.83139	45.91577	45.91348	45.91394	45.88205	45.81720	45.83337	45.84573	45.76303	45.80240	45.88190	45.80652	45.76104	45.73465	45.73663	45.75036	45.81964	45.63561	45.70077	45.73480	45.78500	45.84161	45.84741	45.97757	45.78027	45.77783	45.79080	45.78149	45.85657	45.76989	45.64920	45.66018	45.62737	45.67788	45.54803	45.59030	45.55123	45.53063	45.64950	45.57473	45.57900	45.57275	45.83795	45.80438	45.88815	45.84543	45.84390	45.89700	45.85946	45.77462	45.90982	45.89960	45.90539	45.87137	45.78775	45.82620	45.86633	45.95865	45.87427	45.84207	45.77951	45.74487	45.74243	45.76699	45.73632	45.73266	45.73861	45.76699	45.73907	45.79980	45.71099	45.79034	45.79416	45.87900	45.83566	45.80591	45.94659	45.95926	45.98886
318.73496	45.87839	45.79095	45.92920	45.83368	45.80652	45.88952	45.91348	45.87808	45.72122	45.85229	45.68917	45.75509	45.84375	45.85138	45.81659	45.80117	45.92218	45.70489	45.83261	45.76669	45.83032	45.98810	45.85550	45.88907	45.98245	45.80056	45.77447	45.73388	45.76654	45.65667	45.81048	45.88006	45.64584	45.85290	45.77707	45.81216	45.99084	46.02228	45.91150	45.94583	46.05173	45.93301	46.03387	45.99542	46.01587	45.93637	45.99329	45.88800	45.98169	45.96643	45.89914	45.97436	45.95651	45.90646	45.89075	46.04364	45.95361	46.00870	46.07858	45.93912	45.89502	45.94705	45.84466	45.78210	45.80865	45.84161	45.85168	45.99161	45.86542	45.90936	45.86374	45.84482	45.88876	45.87884	45.94080	45.79385	45.88357	45.84665	45.91150	45.84543	45.83978	45.88052	45.93591	45.80880	45.92401	46.02853	45.96933	45.97177	45.95453	46.11734	46.19165	46.15808	46.17105	46.14084	46.22309	46.11322	46.06714	45.94080	45.86755	45.77157	45.92355	45.94461	45.89349	46.02899	46.06149	46.04288	46.12924	46.18311	46.09293	46.20829	46.15839	45.98566	45.98093	46.08453	45.91592	45.91135	45.90845	45.95926	45.93317	45.81033	45.79446	45.78531	45.80514	45.75479	45.74701	45.69543	45.75250	45.81994	45.81109	45.87549	45.85489	45.85397	45.88128	45.83612	45.94507	45.89868	45.97177	45.95468	45.84482	45.87381	45.83597	45.95544	45.93454	45.98764	46.07126	46.04074	46.02411	46.07553	46.14557	46.30762	46.15122	46.20081	46.14435	45.97971	46.01511	46.05676	46.03372	45.94141	45.95666	46.02197	46.01129	46.11490	45.93881	45.99496	45.92203	45.90372	46.00900	46.01404	46.10849	46.02365	46.17380	46.09155	46.08270	46.07401	46.06073	46.08865	46.08087	46.04211	46.09476	46.04654	45.95132	45.88724	46.00580	45.92599	46.00092	45.99313	45.84909	45.92355	45.89410	45.81796	46.00793	45.99542	46.06561	45.96246	46.01785	45.94400	45.97345	46.10132	45.92996	46.07614	45.88098	45.86145	45.84985	45.86328	45.95087	45.69604	45.76547	45.72580	45.86221	45.87808	45.65377	45.78943	45.87106	45.97559	46.04807	45.94980	46.00977	46.02213	45.93301	46.15793	46.02640	46.12802	46.10956	46.18479	46.08286	46.03372	46.14466	46.07614	46.18662	46.07156	46.04166	46.07645	45.91089	45.94278	45.95605	45.98291	45.98367	45.92340	45.96811	45.83764	46.00183	45.91394	45.97711	45.97986	45.98444	46.12665	46.04944	46.28183	46.24323	46.27115
318.73771	45.74395	45.74517	45.73480	45.82788	45.76989	45.78897	45.80148	45.81415	45.66476	45.80087	45.60754	45.68734	45.73129	45.64355	45.72076	45.76715	45.67254	45.67346	45.70169	45.77478	45.65194	45.88281	45.78103	45.72839	45.68658	45.56756	45.65850	45.66079	45.61883	45.58602	45.69116	45.63928	45.53033	45.73312	45.76974	45.69451	45.76776	45.81216	45.74533	45.73663	45.91455	45.75647	45.85534	45.83520	45.80331	45.84924	45.72778	45.73495	45.76135	45.80774	45.84344	45.75509	45.86679	45.84604	45.76410	45.83886	45.79034	45.87854	45.91485	45.78897	45.78378	45.66079	45.70016	45.63287	45.79843	45.79797	45.68887	45.77234	45.70871	45.85046	45.82315	45.74319	45.81552	45.67407	45.76959	45.63531	45.69345	45.65835	45.68154	45.74228	45.67514	45.67178	45.73388	45.77493	45.82284	45.80255	45.85351	45.77874	45.91348	45.99725	46.10727	46.10559	45.98474	46.11658	46.05905	45.93881	45.78561	45.70474	45.69207	45.64858	45.73938	45.76059	45.79507	45.90021	45.87381	45.86572	46.04257	46.21256	46.10864	46.03616	45.99466	45.82925	45.86816	46.01602	45.90967	45.89364	45.75952	45.80529	45.80804	45.68505	45.63653	45.59289	45.70260	45.64858	45.52422	45.67178	45.66598	45.77447	45.71878	45.70031	45.78546	45.77905	45.63287	45.68353	45.75937	45.84543	45.85855	45.77493	45.78195	45.73205	45.66125	45.66308	45.76318	45.82940	45.94141	45.97375	45.92279	45.84863	46.08255	46.10101	45.97406	45.99191	46.07401	45.97589	45.96506	45.80102	45.89929	45.93927	45.92752	45.81888	45.89929	45.93194	45.84100	45.85794	45.74716	45.77646	45.90143	45.85290	45.93439	45.89197	46.01602	45.92905	46.00290	46.02640	45.81491	45.89380	46.04334	45.83902	45.81247	45.96902	45.90387	45.80697	45.85397	45.75372	45.74090	45.75265	45.72747	45.77951	45.69787	45.77142	45.82971	45.90326	45.87549	45.95407	45.91730	45.91592	45.85534	45.83108	45.87991	45.92676	45.74777	45.68780	45.73999	45.67498	45.79080	45.58221	45.66430	45.62676	45.70520	45.70748	45.69482	45.55093	45.73739	45.90417	45.75372	45.87091	45.92203	45.86145	45.94354	45.90112	45.88022	46.02899	45.93194	45.99374	46.09674	45.91272	45.97009	45.98093	46.05722	45.94034	45.89181	45.91302	45.90753	45.80758	45.78256	45.82513	45.86603	45.88937	45.83291	45.78744	45.77478	45.74929	45.91318	45.95544	45.89197	45.86954	45.90723	46.05493	46.00977	46.02777
318.74046	45.79538	45.65484	45.69955	45.68811	45.79522	45.70794	45.75525	45.66522	45.63714	45.75082	45.64370	45.68536	45.77920	45.63577	45.67575	45.70275	45.74777	45.60525	45.66247	45.73861	45.61501	45.72015	45.70489	45.65377	45.78958	45.55016	45.53185	45.65270	45.58099	45.65835	45.67041	45.60662	45.45037	45.58328	45.56085	45.60113	45.82910	45.82681	45.72534	45.69619	45.78897	45.75525	45.81170	45.92172	45.71557	45.81567	45.76150	45.78332	45.86404	45.78988	45.69345	45.79873	45.87488	45.68597	45.81476	45.87106	45.84161	45.91745	45.84680	45.87976	45.79538	45.59335	45.71054	45.54452	45.73175	45.69894	45.60601	45.74807	45.74334	45.71939	45.74029	45.68215	45.64279	45.65087	45.78149	45.70520	45.68933	45.54040	45.53292	45.76410	45.60662	45.58541	45.64630	45.79004	45.75189	45.65148	45.75982	45.75616	45.92248	46.00793	45.96384	46.00320	45.94064	46.04746	45.99466	45.89731	45.79126	45.63195	45.61654	45.60830	45.67544	45.72961	45.69406	45.82910	45.85412	45.99191	45.98993	46.09323	46.04608	45.97589	46.00610	45.77752	45.82132	45.81399	45.85199	45.84176	45.66690	45.80346	45.70916	45.66278	45.58343	45.58114	45.58236	45.55291	45.59121	45.64920	45.59380	45.72961	45.68093	45.70153	45.58831	45.67971	45.76394	45.67285	45.79889	45.69055	45.84237	45.74777	45.62142	45.76074	45.72869	45.74136	45.76104	45.77279	45.78515	45.86007	45.87335	45.78683	45.92767	46.09979	45.95697	45.98276	45.90845	45.86542	45.79019	45.78042	45.82437	45.81582	45.83505	45.80026	45.89395	45.84985	45.77447	45.90127	45.81292	45.82620	45.88266	45.93912	45.90692	45.83383	45.92630	45.81827	45.97498	45.90890	45.86267	45.98169	45.92660	45.89715	45.93378	45.99161	45.97604	45.74746	45.74685	45.70062	45.71664	45.69039	45.77752	45.80209	45.74151	45.72198	45.68368	45.78775	45.84405	45.78607	45.85107	45.83902	45.85504	45.90860	45.77462	45.83032	45.80102	45.60845	45.68490	45.63745	45.63882	45.59686	45.66430	45.66766	45.62097	45.66873	45.59319	45.60983	45.66201	45.82940	45.87549	45.83764	45.95300	45.84085	45.86954	45.93439	45.77127	46.00855	45.84161	45.96155	45.94141	45.89334	45.83474	45.97681	45.98871	45.76715	45.81888	45.78241	45.81125	45.79370	45.81323	45.69238	45.75860	45.74395	45.70962	45.75021	45.75525	45.80056	45.81888	45.90387	45.85351	45.85885	45.90433	45.93668	45.98276	46.11383
318.74321	45.78668	45.67025	45.75280	45.75952	45.84833	45.76089	45.81003	45.73068	45.63500	45.77050	45.75631	45.60586	45.60479	45.76440	45.75021	45.73220	45.78134	45.72793	45.72320	45.74960	45.65652	45.75311	45.67987	45.78500	45.78302	45.62066	45.67056	45.64248	45.67575	45.64355	45.70199	45.66995	45.53368	45.67926	45.72107	45.79538	45.79065	45.82605	45.86374	45.81292	45.95621	45.94781	45.76135	45.86221	45.84085	45.79232	45.77737	45.82284	45.75845	45.83825	45.85611	45.85031	45.81308	45.87045	45.80041	45.97910	45.78042	45.92859	45.92828	45.87442	45.74548	45.73877	45.69558	45.64858	45.77462	45.76989	45.72610	45.71206	45.82544	45.81109	45.71283	45.74548	45.85855	45.91638	45.83169	45.69543	45.75143	45.61975	45.62051	45.74273	45.78119	45.72091	45.72030	45.69894	45.83810	45.80728	45.84787	45.85824	45.84222	46.02625	45.96918	45.98688	46.02914	46.05264	46.13855	45.92630	45.83749	45.74105	45.75723	45.71435	45.77981	45.87396	45.75860	45.96658	45.96902	45.98901	46.05264	46.04456	46.11902	46.00092	46.06806	45.88571	45.85626	45.92874	45.79599	45.86526	45.89136	45.77249	45.80697	45.68307	45.56878	45.66537	45.70687	45.61135	45.63577	45.66522	45.64218	45.74975	45.69131	45.68811	45.82437	45.69833	45.78058	45.74884	45.87594	45.83764	45.82803	45.91562	45.72518	45.76379	45.71145	45.78790	45.88693	45.86023	46.00565	45.88403	46.04700	45.91028	46.22522	46.04471	46.01694	45.97284	45.94675	45.99084	45.85245	45.85565	45.89502	45.89593	45.99161	45.95972	45.86862	45.94278	45.85351	45.90524	45.78363	45.91653	45.86603	46.01251	45.98520	45.93545	46.02152	45.94064	45.98749	46.03449	45.91180	46.05631	45.94354	45.89273	45.92264	45.90448	45.88754	45.84955	45.81720	45.83246	45.80941	45.88617	45.79858	45.73754	45.76211	45.77111	45.79690	45.90555	45.90372	45.88052	45.93835	45.90814	45.79217	45.96429	45.88556	45.93225	45.82544	45.74563	45.74868	45.82635	45.77203	45.65606	45.76303	45.67224	45.69741	45.63027	45.68551	45.68002	45.75570	45.84817	45.88083	45.91302	45.88205	45.84344	45.89883	45.90036	45.89425	45.98474	45.99603	45.98611	45.95392	46.03967	45.97345	45.96155	46.10040	45.90402	45.95743	45.85092	45.83871	45.86130	45.85382	45.83734	45.69985	45.79736	45.91333	45.84848	45.82513	45.83932	45.88342	45.80728	45.93484	45.99115	45.94949	46.02289	46.12711	46.05661
318.74596	45.70459	45.76867	45.83062	45.92737	45.82757	45.90341	45.82101	45.84665	45.80362	45.79889	45.69345	45.76074	45.81018	45.69650	45.79660	45.75296	45.79843	45.64691	45.65682	45.75448	45.69665	45.94339	45.76883	45.85809	45.85428	45.67117	45.68215	45.69543	45.82773	45.66461	45.73312	45.74228	45.71542	45.81628	45.74258	45.80819	45.89013	45.87137	45.88464	45.80423	45.92813	45.80713	45.91363	45.98230	45.86419	45.82071	45.88952	45.92630	45.82849	45.96307	45.87610	45.80423	45.99969	45.93133	45.87427	45.97116	45.77630	45.97284	45.90784	45.91287	45.87854	45.85061	45.75021	45.68750	45.82284	45.74945	45.76257	45.84085	45.79217	45.87381	45.71511	45.72763	45.78393	45.79278	45.90982	45.78347	45.84161	45.72244	45.65866	45.77996	45.67071	45.79736	45.77081	45.77630	45.82391	45.84497	45.86816	45.79980	45.84695	46.09064	46.01862	46.20508	46.12192	46.17487	46.16693	46.00031	45.82681	45.80346	45.74945	45.77707	45.79507	45.89319	45.85718	45.93423	45.88357	45.93957	46.05814	45.99451	46.19089	46.10605	46.02991	45.92721	45.99420	45.91196	45.99359	45.94491	45.88006	45.78973	45.78042	45.78820	45.65545	45.72000	45.65545	45.67071	45.65331	45.71572	45.73632	45.74792	45.80117	45.86496	45.79736	45.76211	45.79950	45.76730	45.89410	45.91165	45.89532	45.85809	45.79156	45.90417	45.87457	45.74212	45.83200	46.04929	45.92401	45.99695	45.94095	46.06653	46.02106	46.16144	46.02686	46.11826	45.99237	45.95315	45.89609	45.89395	45.96246	45.93759	45.97436	45.99329	46.00717	45.94568	45.86908	45.94049	45.88098	45.91836	45.97635	46.02152	46.04105	45.94507	46.01129	46.03403	45.96902	45.95239	45.96887	46.10529	45.96216	46.05798	46.06348	45.92554	45.92615	45.87793	45.99008	45.78820	45.77798	45.87839	45.82712	45.91379	45.78027	45.85748	45.87518	45.90341	45.91653	46.02152	45.93698	45.86984	45.89609	45.96002	45.94842	46.06500	45.94705	45.80743	45.80392	45.79019	45.76760	45.66476	45.70153	45.67056	45.67849	45.79248	45.61593	45.72961	45.81750	45.93790	45.95560	45.87839	45.98566	45.91669	45.94369	45.94583	45.99313	46.08026	46.07919	46.04807	45.90448	46.02792	46.04776	46.05310	46.05493	46.01465	46.01602	45.88800	45.97757	45.87518	45.82940	45.81933	45.85794	45.87778	45.87655	45.86587	45.88220	45.91714	45.95941	45.89807	45.95819	45.97436	45.94659	46.18463	46.07416	46.16327
